証券コード,年度,売上高,営業利益,営業利益率(%),EPS,営業CF,現金等,一株配当,配当性向(%),自己資本比率(%)
1301,2016/03,226626000000,2433000000,1.07,171.28,2689000000,4030000000,50,29.2,23.9
1332,2016/03,637164000000,19442000000,3.05,44.55,37395000000,14056000000,5,11.2,21.3
1333,2016/03,884811000000,16972000000,1.92,25.94,30616000000,12009000000,10,38.5,17.5
1352,2016/03,70906000000,523000000,0.74,48,1597000000,1470000000,20,41.6,17.4
1375,2016/03,15274000000,-,,-,,,,,-
1376,2016/05,58099863000,2144648000,3.69,124.83,2342327000,3891868000,27,21.6,37.5
1377,2016/05,58773000000,7317000000,12.45,115.88,4384000000,11497000000,25,21.6,81.5
1379,2016/03,60987000000,3428000000,5.62,81.18,8744000000,4660000000,60,73.9,59.7
1380,2016/03,5231744000,88260000,1.69,12.82,425040000,859161000,4,31.2,33.6
1381,2016/06,18378000000,2340000000,12.73,217.77,2556000000,3590000000,35,16.1,75.9
1382,2016/06,4485642000,-68752000,-1.53,-144.55,15177000,452615000,-,0,73.9
1383,2016/10,4395994000,-98418000,-2.24,11.01,-48520000,421706000,10,90.8,32.5
1384,2016/08,15682337000,1496972000,9.55,128.21,1956246000,2949521000,14,10.9,53.7
1400,2016/12,2465739000,50669000,2.05,5.8,-300006000,716876000,,,77.6
1401,2016/05,2114524000,209238000,9.90,23.35,-112529000,584089000,,,57
1407,2016/08,36997000000,4968000000,13.43,60.93,4845000000,28653000000,20.71,34,23.2
1413,2016/12,93138640000,6103170000,6.55,245.25,2561019000,6136256000,60,24.5,31.3
1414,2016/06,52334000000,9303000000,17.78,29.11,4386000000,16981000000,10.88,37.4,82.4
1417,2016/03,269537000000,6127000000,2.27,44.64,6239000000,29121000000,30,67.2,63.8
1418,2016/02,18672329000,299484000,1.60,13.2,325173000,3171734000,4,30.3,38.4
1419,2016/05,138379000000,1803000000,1.30,-14.84,36000000,26566000000,10,-,15.9
1420,2016/03,47720472000,-55149000,-0.12,-23.61,-9306948000,4491031000,15,-,29.3
1429,2016/12,15608255000,1404063000,9.00,27.61,1502787000,2569804000,3,10.9,52.9
1430,2016/05,16270836000,1601682000,9.84,88.48,-3846643000,1487615000,26,29.4,17.7
1431,2016/06,2974125000,35793000,1.20,0.99,-303492000,682244000,0.63,-,61.5
1433,2016/01,3846390000,447347000,11.63,42.85,-73848000,1079096000,15,-,63.6
1434,2016/08,8416512000,273326000,3.25,40.17,-471560000,761371000,8,19.9,24
1435,2016/12,37915158000,3806736000,10.04,30.79,2725106000,4904216000,4,13,55.6
1436,2016/03,7366007000,1084746000,14.73,197.27,-1011364000,2844376000,24,-,54.2
1438,2016/09,4054656000,348896000,8.60,140.46,182959000,1144152000,15,10.7,59.5
1439,2016/12,3887915000,308018000,7.92,214.79,-16759000,593503000,31,14.4,45.7
1444,2016/07,1075599000,-,,46.14,41285000,179995000,,,74.2
1446,2016/09,10491125000,229286000,2.19,-3.44,323805000,1139289000,,,32.3
1449,2016/12,1053513000,27927000,2.65,10.81,40373000,48669000,,,29.6
1450,2016/09,5559002000,-,,80.62,-,1351724000,78.13,-,55.4
1451,2016/03,823168000,-,,108.23,-,4218787000,129,-,-
1480,2016/10,422097467,411930860,97.59,-,,,,,-
1491,2016/03,29188551000,-204498000,-0.70,-33.35,-22014000,902973000,-,-,87.2
1514,2016/03,17983000000,284000000,1.58,17.71,621000000,2184000000,0,-,63.6
1515,2016/03,114088000000,10090000000,8.84,53.86,11070000000,25973000000,8,14.9,53.9
1518,2016/03,58564000000,1007000000,1.72,21.81,2151000000,10336000000,8,36.7,59.5
1605,2016/03,1009564000000,390139000000,38.64,11.49,183707000000,53813000000,18,-,67.1
1662,2016/03,240302000000,8336000000,3.47,7.31,57659000000,126570000000,10,136.7,59.5
1663,2016/12,56450000000,3234000000,5.73,87.67,5806000000,23382000000,28,31.9,77.1
1711,2016/03,1868613000,-121410000,-6.50,-89.91,-230119000,248033000,,,0.1
1712,2016/02,19086214000,2516945000,13.19,90.43,2616913000,2708537000,5,5.5,65.7
1716,2016/06,12857204000,1733642000,13.48,98.01,1354160000,3628931000,6,6.1,73.2
1717,2016/03,7372038000,645080000,8.75,33.26,57670000,1361551000,10,30.1,56.3
1718,2016/12,31436383000,2033739000,6.47,1164.39,2865295000,2520031000,130,11.2,36.7
1719,2016/03,379258000000,25456000000,6.71,81.03,34722000000,106935000000,12,14.8,25.4
1720,2016/03,296393000000,18178000000,6.13,125,39003000000,50674000000,25,20,25.2
1721,2016/03,320654000000,23849000000,7.44,136.74,13089000000,28818000000,35,25.6,73.4
1722,2016/03,399336000000,6686000000,1.67,92.04,-4704000000,47082000000,20,21.7,17.5
1723,2016/03,25799239000,2736036000,10.61,110.68,2793703000,9615763000,8.25,29.8,59.1
1724,2016/03,7132000000,62000000,0.87,-14.7,-448000000,994000000,,,16.5
1726,2016/03,20816000000,508017000,2.44,14.37,1456000000,1256000000,2,13.9,17.7
1728,2016/03,29719950000,223580000,0.75,7.53,2062988000,5298985000,5,66.4,28.4
1730,2016/03,3831625000,121326000,3.17,36.42,372887000,983194000,10,27.5,37.4
1734,2016/03,16178604000,802825000,4.96,850.68,2767746000,4456924000,150,17.6,59
1736,2016/03,23454637000,1491822000,6.36,63.25,1138048000,4613359000,12.67,20,52.7
1737,2016/03,24180674000,1426845000,5.90,72.89,1043701000,6412427000,38,52.1,54.7
1738,2016/03,7480608000,385623000,5.15,62.27,408891000,1113889000,13,20.9,61
1739,2016/06,10191275000,805620000,7.90,94.98,-2664689000,1319157000,1.25,-,17.6
1743,2016/09,6876301000,34395000,0.50,-30.02,-194622000,307276000,16.67,-,60.9
1757,2016/03,457026000,-370605000,-81.09,-8.36,284235000,1894472000,-,-,94.2
1758,2016/01,10305852000,502821000,4.88,165.03,962663000,3231643000,25,15.1,69.2
1762,2016/03,208883000000,10410000000,4.98,161,2676000000,72442000000,34,21.1,55.1
1764,2016/06,19050631000,1104337000,5.80,468.72,2145922000,1057830000,140,29.9,27.1
1766,2016/04,283731000000,12616000000,4.45,606.31,19001000000,80594000000,95,14.8,41
1768,2016/03,13730289000,676422000,4.93,65.55,485580000,3500992000,10,15.3,46.7
1770,2016/03,26976560000,1364766000,5.06,70.99,599479000,4116325000,16,22.5,46.7
1771,2016/09,10690089000,447887000,4.19,57.16,116838000,2374035000,5,9.3,65.5
1775,2016/03,77318000000,3800000000,4.91,242.12,1409000000,3754000000,40,17.2,30.8
1776,2016/03,33979000000,1721000000,5.06,93.06,2681000000,7823000000,8,8.6,30.5
1777,2016/03,20732360000,987939000,4.77,49.7,2150896000,1876880000,7,14.1,34.7
1780,2016/09,20491272000,1098777000,5.36,45.31,-1623795000,1589621000,5,10.9,57.2
1782,2016/03,19758360000,1850887000,9.37,1565.22,2653264000,3864061000,200,12.8,38.7
1783,2016/09,3757198000,180289000,4.80,5,-340766000,489219000,-,-,84.5
1787,2016/03,10846560000,763017000,7.03,195.37,990394000,4152796000,100,51.2,67.9
1788,2016/06,5287295000,154272000,2.92,93.95,787577000,1603005000,40,42.6,68.9
1789,2016/09,6470115000,176016000,2.72,36.58,132629000,1011675000,5,13.7,44.8
1793,2016/03,91269000000,4506000000,4.94,85.92,-1697000000,11484000000,12.5,14.5,62.7
1795,2016/09,9598945000,586611000,6.11,419.76,469108000,1120360000,110,26.2,45.5
1798,2016/03,32596845000,1196645000,3.67,592.94,1107045000,3275239000,10,8.4,31.9
1799,2016/03,48437645000,4849112000,10.01,163.06,11265540000,19677470000,26,16,80
1801,2016/03,1545889000000,117468000000,7.60,329.27,95360000000,371730000000,80,24.3,31.2
1802,2016/03,1777834000000,106380000000,5.98,88.36,124980000000,164802000000,18,20.4,26.7
1803,2016/03,1664933000000,94668000000,5.69,75.61,38335000000,274167000000,16,21.2,27.9
1805,2016/03,120710000000,6662000000,5.52,365.85,4259000000,14532000000,20,-,24
1807,2016/03,40220877000,2444474000,6.08,231.86,3626020000,4945668000,17.5,7.5,37.4
1808,2016/03,787354000000,68762000000,8.73,170.41,65590000000,152115000000,15,8.8,31.3
1810,2016/03,87958870000,6120907000,6.96,125.76,10536187000,24951065000,16,12.7,39.9
1811,2016/03,115041000000,4526000000,3.93,408.59,2442000000,22955000000,60,-,40.5
1812,2016/03,1742700000000,111079000000,6.37,139.31,36354000000,234811000000,24,17.2,25
1813,2016/03,64004000000,3118000000,4.87,122.08,2774000000,7912000000,40,32.8,46.1
1814,2016/03,59880000000,3713000000,6.20,217.19,1705000000,2574000000,10,4.6,23.8
1815,2016/03,171243000000,1785000000,1.04,81.42,-3112000000,10795000000,20,24.6,24.5
1820,2016/03,308826000000,16184000000,5.24,263.56,4120000000,27903000000,80,30.4,43.8
1821,2016/03,414958000000,23364000000,5.63,60.91,10742000000,57730000000,10,16.4,14.3
1822,2016/03,146815000000,9348000000,6.37,67.17,14890000000,31633000000,5,7.4,35.7
