市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証PRM,4684,(株)オービック,情報・通信,4232,2.22,21,44,21,21,21,17,30,21,196
東証STD,8117,中央自動車工業(株),卸売業,1853,3.08,21,40,21,15,21,15,30,15,178
東証PRM,3835,ｅＢＡＳＥ(株),情報・通信,418,3.64,21,40,21,3,19,13,30,27,174
東証PRM,2327,日鉄ソリューションズ(株),情報・通信,3648,2.38,21,40,21,3,21,23,18,27,174
東証PRM,4828,ビジネスエンジニアリング(株),情報・通信,1246,3.34,21,44,21,3,21,27,15,21,173
東証PRM,3925,(株)ダブルスタンダード,情報・通信,1355,5.17,15,36,21,9,21,18,24,27,171
東証PRM,4318,(株)クイック,サービス業,752,5.05,21,36,21,3,21,21,20,27,170
東証PRM,3836,(株)アバントグループ,情報・通信,1210,2.64,21,36,21,15,21,13,16,27,170
東証PRM,4812,(株)電通総研,情報・通信,2153,2.09,21,36,15,3,21,25,20,27,168
東証STD,4832,ＪＦＥシステムズ(株),情報・通信,2018,3.47,21,36,15,15,21,19,13,27,167
東証PRM,7595,(株)アルゴグラフィックス,情報・通信,1356,5.9,21,40,21,3,21,19,20,21,166
東証PRM,3916,デジタル・インフォメーション・テクノロジー(株),情報・通信,917,4.09,21,40,21,9,15,13,20,27,166
東証STD,4746,(株)東計電算,情報・通信,4125,4.19,21,36,15,9,21,25,29,9,165
東証PRM,7839,(株)ＳＨＯＥＩ,その他製品,1815,3.31,15,28,15,21,15,17,26,27,164
東証PRM,8111,(株)ゴールドウイン,繊維製品,2215.5,2.62,21,36,21,9,21,15,14,27,164
東証PRM,6200,(株)インソース,サービス業,669,4.41,15,40,15,21,21,15,20,15,162
東証PRM,9039,(株)サカイ引越センター,陸運業,2887,3.39,21,32,21,15,19,13,20,21,162
東証PRM,9759,(株)ＮＳＤ,情報・通信,2685.5,3.5,21,40,21,15,21,-1,28,15,160
東証STD,3969,(株)エイトレッド,情報・通信,1389,2.59,21,28,21,9,15,17,22,27,160
東証PRM,2379,ディップ(株),サービス業,1824,5.32,21,44,21,15,21,7,21,9,159
東証PRM,9746,(株)ＴＫＣ,情報・通信,3595,3.06,21,36,21,3,21,17,25,15,159
東証PRM,2163,(株)アルトナー,サービス業,1906,4.51,18,42,18,12,18,8,18,24,158
東証PRM,9628,燦ホールディングス(株),サービス業,1390,4.1,21,36,9,9,21,13,28,21,158
東証STD,6161,(株)エスティック,機械,1019,3.04,21,32,21,9,21,9,30,15,158
東証PRM,2359,(株)コア,情報・通信,2006,2.99,15,40,9,9,17,21,16,27,154
東証PRM,7818,(株)トランザクション,その他製品,1146,2.71,21,40,21,9,21,17,22,3,154
